epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.03233,1.27989,4.01155,1.28825,0,0,0,0,1.38886,4.27861,1.17054,5e-06,5e-06,5e-06
2,9.89515,1.99257,4.31403,1.73576,0,0,0,0,1.38167,4.28116,1.16868,1.48515e-05,1.48515e-05,1.48515e-05
3,14.7051,1.96958,4.32628,1.68274,0,0,0,0,1.39628,4.28281,1.17371,2.4505e-05,2.4505e-05,2.4505e-05
4,19.2432,2.29216,4.49237,1.78225,0,0,0,0,1.43834,4.27313,1.18742,3.39605e-05,3.39605e-05,3.39605e-05
5,23.7895,1.72714,4.35191,1.45221,0,0,0,0,1.46454,4.26438,1.19609,4.3218e-05,4.3218e-05,4.3218e-05
6,28.1355,1.74424,4.35099,1.41999,0,0,0,0,1.5,4.25781,1.20872,5.22775e-05,5.22775e-05,5.22775e-05
7,32.6627,1.74332,4.31403,1.33227,0,0,0,0,1.53897,4.25217,1.22034,6.1139e-05,6.1139e-05,6.1139e-05
8,37.0978,1.59467,4.12732,1.33124,0,0,0,0,1.60928,4.2489,1.24921,6.98025e-05,6.98025e-05,6.98025e-05
9,41.5321,1.6414,4.1413,1.36527,0,0,0,0,1.66938,4.25242,1.27225,7.8268e-05,7.8268e-05,7.8268e-05
10,45.8908,1.68674,4.08193,1.46843,0,0,0,0,1.71085,4.25162,1.29637,8.65355e-05,8.65355e-05,8.65355e-05
11,50.2791,1.56046,4.09979,1.21672,0,0,0,0,1.74922,4.245,1.31572,9.4605e-05,9.4605e-05,9.4605e-05
12,54.6948,1.74014,4.183,1.34001,0,0,0,0,1.74922,4.245,1.31572,0.000102476,0.000102476,0.000102476
13,59.0857,1.41039,3.98764,1.23819,0,0,0,0,1.75026,4.23715,1.31495,0.00011015,0.00011015,0.00011015
14,63.573,1.64471,3.8988,1.35567,0,0,0,0,1.71813,4.2222,1.2992,0.000117625,0.000117625,0.000117625
15,67.9983,1.48795,3.84068,1.22913,0,0,0,0,1.71813,4.2222,1.2992,0.000124903,0.000124903,0.000124903
16,72.6805,1.77188,3.97187,1.40347,1,0.02,0.51,0.306,1.65874,4.20596,1.26542,0.000131983,0.000131983,0.000131983
17,77.2128,1.38189,3.79697,1.14755,1,0.1,0.55,0.39289,1.61257,4.19463,1.22962,0.000138864,0.000138864,0.000138864
18,81.5735,1.37141,3.6625,1.23845,1,0.1,0.55,0.39289,1.61257,4.19463,1.22962,0.000145548,0.000145548,0.000145548
19,86.1407,1.75372,3.84123,1.38032,0.88889,0.16,0.53104,0.35306,1.56451,4.18217,1.19664,0.000152033,0.000152033,0.000152033
20,90.8475,1.50642,3.79408,1.22807,0.88889,0.16,0.53104,0.35306,1.56451,4.18217,1.19664,0.000158321,0.000158321,0.000158321
21,95.2774,1.59536,3.61507,1.40187,0.66667,0.24,0.46611,0.32478,1.5257,4.15277,1.17858,0.00016441,0.00016441,0.00016441
22,99.526,1.54824,3.64482,1.22558,0.66667,0.24,0.46611,0.32478,1.5257,4.15277,1.17858,0.000170302,0.000170302,0.000170302
23,103.874,1.373,3.54321,1.17677,0.53333,0.32,0.44548,0.2876,1.48408,4.11886,1.16951,0.000175995,0.000175995,0.000175995
24,108.169,1.41932,3.54131,1.12406,0.53333,0.32,0.44548,0.2876,1.48408,4.11886,1.16951,0.000181491,0.000181491,0.000181491
25,112.61,1.47445,3.4107,1.18058,0.48649,0.36,0.47025,0.27082,1.46872,4.08754,1.16978,0.000186788,0.000186788,0.000186788
26,117.029,1.58283,3.72748,1.30654,0.48649,0.36,0.47025,0.27082,1.46872,4.08754,1.16978,0.000191887,0.000191887,0.000191887
27,121.636,1.37066,3.58571,1.18903,0.48649,0.36,0.47025,0.27082,1.46872,4.08754,1.16978,0.000196789,0.000196789,0.000196789
28,125.963,1.50213,3.3131,1.16843,0.43373,0.36,0.43927,0.24345,1.48638,4.07086,1.19036,0.000201493,0.000201493,0.000201493
29,130.31,1.36464,3.44139,1.18132,0.43373,0.36,0.43927,0.24345,1.48638,4.07086,1.19036,0.000205998,0.000205998,0.000205998
30,134.715,1.29936,3.39354,1.13076,0.36842,0.35,0.42125,0.23023,1.51008,4.03642,1.21299,0.000210306,0.000210306,0.000210306
31,139.214,1.41247,3.28568,1.13711,0.36842,0.35,0.42125,0.23023,1.51008,4.03642,1.21299,0.000214415,0.000214415,0.000214415
32,143.535,1.39877,3.46496,1.21894,0.36842,0.35,0.42125,0.23023,1.51008,4.03642,1.21299,0.000218327,0.000218327,0.000218327
33,148.022,1.35195,3.36221,1.15791,0.34579,0.37,0.41081,0.22733,1.57774,3.98098,1.24161,0.00022204,0.00022204,0.00022204
34,152.377,1.45654,3.3071,1.14038,0.34579,0.37,0.41081,0.22733,1.57774,3.98098,1.24161,0.000225555,0.000225555,0.000225555
35,156.823,1.55185,3.32789,1.14718,0.34579,0.37,0.41081,0.22733,1.57774,3.98098,1.24161,0.000228873,0.000228873,0.000228873
36,161.258,1.38493,3.31427,1.17529,0.34884,0.45,0.45906,0.25778,1.60949,3.9057,1.24976,0.000231992,0.000231992,0.000231992
37,165.595,1.38201,3.1916,1.11141,0.34884,0.45,0.45906,0.25778,1.60949,3.9057,1.24976,0.000234914,0.000234914,0.000234914
